Dog,Cat,Rabbit,Parrot
Carpathian Shepherd Dog                  ,,,
Castro Laboreiro Dog                  ,,,
Catahoula Bulldog,,,
Catahoula Leopard Dog,,,
Catalan Sheepdog                ,,,
Caucasian Shepherd                ,,,
Caucasian Shepherd Dog,,,
Cavachon,,,
Cavador,,,
Cav-a-Jack,,,
Cavalier King Charles Spaniel,,,
Cavapoo,,,
Central Asian Shepherd       ,,,
Cesky Fousek                 ,,,
Cesky Terrier,,,
Chabrador,,,
Cheagle,,,
Chesapeake Bay Retriever,,,
Chi Chi,,,
Chigi,,,
Chihuahua,,,
Chilier,,,
Chinese Crested,,,
Chinese Shar-Pei,,,
Chinook,,,
Chion,,,
Chipin,,,
Chi-Poo,,,
Chiweenie,,,
Chorkie,,,
Chow Chow,,,
Chow Shepherd,,,
Chug,,,
Chusky,,,
Cirneco dellâ€™Etna,,,
Clumber Spaniel,,,
Cockalier,,,
Cockapoo,,,
Cocker Spaniel,,,
Collie,,,
Continental Toy Spaniel       ,,,
Corgi Inu,,,
Corgidor,,,
Corman Shepherd,,,
Corsican Dog                 ,,,
Coton de Tulear,,,
Croatian Sheepdog,,,
Curly-Coated Retriever,,,
Czech Terrier          ,,,
Czechoslovakian Wolfdog          ,,,
Dachsador,,,
Dachshund,,,
Dachshund          ,,,
Dalmatian,,,
Dandie Dinmont Terrier,,,
Daniff,,,
Danish-Swedish Farmdog,,,
Deutscher Wachtelhund,,,
Doberdor,,,
Doberman Pinscher,,,
Docker,,,
Dogo Argentino,,,
Dogue de Bordeaux,,,
Dorgi,,,
Dorkie,,,
Doxiepoo,,,
Doxle,,,
Drentsche Patrijshond,,,
Drentse Partridge Dog         ,,,
Drever,,,
Dupuy Pointer           ,,,
Dutch Schapendoes       ,,,
Dutch Shepherd,,,
Dutch Shorthaired Shepherd  ,,,
Dutch Smoushond             ,,,
East Siberian Laika             ,,,
English Black and Tan Terrier          ,,,
English Bulldog             ,,,
English Cocker Spaniel,,,
English Foxhound,,,
English Pointer               ,,,
English Setter,,,
English Springer Spaniel,,,
English Toy Spaniel,,,
Entlebucher Mountain Dog,,,
Estrela Mountain Dog,,,
Eurasier,,,
Fawn Brittany Griffon            ,,,
Field Spaniel,,,
Fila Brasileiro,,,
Finnish Hound              ,,,
Finnish Lapphund,,,
Finnish Spitz,,,
Flat-Coated Retriever,,,
Formosan Mountain Dog          ,,,
Fox Terrier,,,
French Bulldog,,,
French Bullhuahua,,,
French Mastiff         ,,,
"French Pointer, Gascogne Type           ",,,
"French Pointer, Pyrenees Type             ",,,
French Saint Hubert Hound          ,,,
French Spaniel,,,
French Tricolor Hound                 ,,,
French White and Black Hound        ,,,
French White and Orange Hound         ,,,
Frenchton,,,
Frengle,,,
Gascon Saintongeois              ,,,
German Hound        ,,,
German Hunting Terrier               ,,,
German Longhaired Pointer,,,
German Oysel Dog        ,,,
German Pinscher,,,
German Roughhaired Pointer    ,,,
German Shepherd            ,,,
German Shepherd Pit Bull,,,
German Shepherd Rottweiler Mix,,,
German Sheprador,,,
German Shorthaired Pointer,,,
German Spitz,,,
German Wirehaired Pointer,,,
Giant Schnauzer,,,
Glen of Imaal Terrier,,,
Goberian,,,
Goldador,,,
Golden Cocker Retriever,,,
Golden Mountain Dog,,,
Golden Retriever,,,
Golden Retriever Corgi,,,
Golden Shepherd,,,
Goldendoodle,,,
Gollie,,,
Gordon Setter,,,
Grand Anglo-Français Tricolor            ,,,
Grand Anglo-Français White and Black       ,,,
Grand Anglo-Français White and Orange          ,,,
Grand Basset Griffon Vendéen                ,,,
Grand Bleu de Gascogne         ,,,
Grand Griffon Vendéen          ,,,
Great Dane,,,
Great Pyrenees,,,
Great Swiss Mountain Dog,,,
Greek Hound             ,,,
Greenland Dog               ,,,
Greyador,,,
Greyhound,,,
Halden Hound               ,,,
Hamilton Hound           ,,,
Hamiltonstovare,,,
Hanoverian Hound        ,,,
Hanoverian Scenthound,,,
Harrier,,,
Havanese,,,
Havapoo,,,
Hokkaido,,,
Horgi,,,
Hovawart,,,
Hungarian Short-Haired Pointer               ,,,
Hungarian Vizsla       ,,,
Hungarian Wire-Haired Pointer               ,,,
Huskita,,,
Huskydoodle,,,
Hygen Hound             ,,,
Ibizan Hound,,,
Icelandic Sheepdog,,,
Irish Red And White Setter,,,
Irish Setter,,,
Irish Terrier,,,
Irish Water Spaniel,,,
Irish Wolfhound,,,
Istrian Coarse-Haired Hound          ,,,
Istrian Short-Haired Hound              ,,,
Italian Coarse-Haired Hound             ,,,
Italian Greyhound,,,
Italian Pointer             ,,,
Italian Short-Haired Hound          ,,,
Italian Volpino              ,,,
Jack Chi,,,
Jack Russell Terrier,,,
Jack-A-Poo,,,
Jackshund,,,
Japanese Chin,,,
Japanese Spaniel               ,,,
Japanese Spitz,,,
Japanese Terrier               ,,,
Jura Hound                ,,,
Kai                 ,,,
Kai Ken,,,
Karelian Bear Dog,,,
Karst Shepherd          ,,,
Keeshond,,,
Kerry Blue Terrier,,,
King Charles Spaniel               ,,,
King Shepherd,,,
Kishu              ,,,
Kishu Ken,,,
Komondor,,,
Kooikerhondje,,,
Korean Jindo Dog,,,
Kromfohrländer    ,,,
Kuvasz,,,
Kyi-Leo,,,
Lab Pointer,,,
Labernese,,,
Labmaraner,,,
Labrabull,,,
Labradane,,,
Labradoodle,,,
Labrador Retriever,,,
Labrastaff,,,
Labsky,,,
Lagotto Romagnolo,,,
Lakeland Terrier,,,
Lancashire Heeler,,,
Landseer               ,,,
Large Brittany Hound                   ,,,
Large Munsterlander        ,,,
Leonberger,,,
Levesque             ,,,
Lhasa Apso,,,
Lhasapoo,,,
Lion Dog              ,,,
Longhaired Dachshund             ,,,
Long-Haired Dutch Shepherd        ,,,
Long-Haired Pyrenean Shepherd      ,,,
Long-Haired Weimaraner           ,,,
Lowchen,,,
Lucerne Hound              ,,,
Majorca Mastiff                  ,,,
Majorca Shepherd Dog     ,,,
Maltese,,,
Maltese Shih Tzu,,,
Maltipoo,,,
Manchester Terrier,,,
Maremma and Abruzzes Sheepdog     ,,,
Maremma Sheepdog,,,
Mastador,,,
Mastiff,,,
Mexican Hairless Dog         ,,,
Miniature Bull Terrier                   ,,,
Miniature Pinscher,,,
Miniature Schnauzer,,,
Montenegrin Mountain Hound                   ,,,
Morkie,,,
Mountain Cur,,,
Mountain Feist,,,
Mudi,,,
Mutt (Mixed),,,
Neapolitan Mastiff,,,
Newfoundland,,,
Nivernais Griffon                  ,,,
Norfolk Terrier,,,
Norrbottenspets         ,,,
Northern Inuit Dog,,,
Norwegian Buhund,,,
Norwegian Elkhound,,,
Norwegian Elkhound Black    ,,,
Norwegian Elkhound Grey                  ,,,
Norwegian Hound               ,,,
Norwegian Lundehund,,,
Norwegian Puffin Dog    ,,,
Norwich Terrier,,,
Nova Scotia Duck Tolling Retriever,,,
Old Danish Pointer                 ,,,
Old English Sheepdog,,,
Otterhound,,,
Papillon,,,
Papipoo,,,
Patterdale Terrier,,,
Peekapoo,,,
Pekingese,,,
Pembroke Welsh Corgi,,,
Peruvian Hairless Dog      ,,,
Petit Basset Griffon VendÃ©en,,,
Petit Bleu de Gascogne          ,,,
Phalène                 ,,,
Pharaoh Hound,,,
Picardy Shepherd          ,,,
Picardy Spaniel         ,,,
Pitsky,,,
Plott,,,
Pocket Beagle,,,
Pointer,,,
Poitevin                ,,,
Polish Greyhound         ,,,
Polish Hound               ,,,
Polish Lowland Sheepdog,,,
Pomapoo,,,
Pomchi,,,
Pomeagle,,,
Pomeranian,,,
Pomsky,,,
Pont-Audemer Spaniel         ,,,
Poochon,,,
Poodle,,,
Porcelain              ,,,
Portuguese Podengo Pequeno,,,
Portuguese Pointer,,,
Portuguese Sheepdog,,,
Portuguese Warren Hound                ,,,
Portuguese Water Dog,,,
Posavac Hound          ,,,
Provence Briquet          ,,,
Pudelpointer,,,
Pug,,,
Pugalier,,,
Puggle,,,
Puginese,,,
Puli,,,
Pumi               ,,,
Pyredoodle,,,
Pyrenean Mastiff,,,
Pyrenean Mountain Dog     ,,,
Pyrenean Shepherd,,,
Rat Terrier,,,
Redbone Coonhound,,,
Rhodesian Ridgeback,,,
Romanian Mioritic Shepherd Dog    ,,,
Rottador,,,
Rottle,,,
Rottweiler,,,
Rough Collie               ,,,
Russell Terrier               ,,,
Russian Black Terrier              ,,,
Russian Toy               ,,,
Russo-European Laika               ,,,
Saarloos Wolfdog                 ,,,
Saint Berdoodle,,,
Saint Bernard,,,
Saint Hubert Hound              ,,,
Saint Miguel Cattle Dog    ,,,
Saint Usuge Spaniel                ,,,
Saint-Germain Pointer             ,,,
Saluki,,,
Samoyed,,,
Samusky,,,
�arplaninac,,,
Schiller Hound          ,,,
Schipperke,,,
Schnoodle,,,
Scottish Deerhound,,,
Scottish Terrier,,,
Sealyham Terrier,,,
Serbian Hound             ,,,
Serbian Tricolour Hound       ,,,
Shar Pei             ,,,
Sheepadoodle,,,
Shepsky,,,
Shetland Sheepdog,,,
Shiba Inu,,,
Shichon,,,
Shih Tzu,,,
Shih-Poo,,,
Shikoku,,,
Shiloh Shepherd,,,
Shiranian,,,
Shollie,,,
Shorkie,,,
Short-Haired Weimaraner             ,,,
Siberian Husky,,,
Silken Windhound,,,
Silky Terrier,,,
Skye Terrier,,,
Sloughi,,,
Slovakian Chuvach     ,,,
Slovakian Hound     ,,,
Slovakian Wirehaired Pointing Griffon           ,,,
Smaland Hound          ,,,
Small Bernese Hound             ,,,
Small Dutch Water Dog                  ,,,
Small Jura Hound            ,,,
Small Lucerne Hound         ,,,
Small Munsterlander           ,,,
Small Munsterlander Pointer,,,
Small Swiss Hound        ,,,
Smooth Collie              ,,,
Smooth Dachshund        ,,,
Smooth Fox Terrier            ,,,
Smooth-Faced Pyrenean Shepherd     ,,,
Soft Coated Wheaten Terrier,,,
South Russian Shepherd     ,,,
Southeast European Shepherd             ,,,
Spanish Greyhound               ,,,
Spanish Hound                  ,,,
Spanish Mastiff,,,
Spanish Water Dog            ,,,
Spinone Italiano,,,
Spitz                 ,,,
Springador,,,
Stabyhoun,,,
Staffordshire Bull Terrier,,,
Staffy Bull Bullmastiff,,,
Standard Schnauzer,,,
Styrian Coarse-Haired Hound           ,,,
Sussex Spaniel,,,
Swedish Elkhound               ,,,
Swedish Lapphund,,,
Swedish Vallhund,,,
Swiss Hound     ,,,
Taiwan Dog,,,
Tatra Shepherd Dog         ,,,
Terripoo,,,
Texas Heeler,,,
Thai Ridgeback,,,
Tibetan Mastiff,,,
Tibetan Spaniel,,,
Tibetan Terrier,,,
Tornjak               ,,,
Tosa             ,,,
Toy Fox Terrier,,,
Transylvanian Hound,,,
Treeing Tennessee Brindle,,,
Treeing Walker Coonhound,,,
Tyrolean Hound         ,,,
Uruguayan Cimarrón               ,,,
Valley Bulldog,,,
Vendéen Briquet Griffon       ,,,
Visigothic Spitz       ,,,
Vizsla,,,
Weimaraner,,,
Welsh Springer Spaniel,,,
Welsh Terrier,,,
West Highland White Terrier,,,
West Siberian Laika               ,,,
Westiepoo,,,
Westphalian Dachsbracke                 ,,,
Wetterhoun                ,,,
Whippet,,,
White Swiss Shepherd         ,,,
Whoodle,,,
Wire Fox Terrier                ,,,
Wirehaired Dachshund           ,,,
Wire-Haired Dutch Shepherd        ,,,
Wirehaired Pointing Griffon,,,
Xoloitzcuintli,,,
Yakutian Laika,,,
Yorkipoo,,,
Yorkshire Terrier,,,
